Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
ASM3666993v2	GCA_036669935.2	GCF_036669935.1	Montipora foliosa					CH-2021			Chromosome	2024-08-23	JAJTOQ02	466
ASM3666993v2	GCF_036669935.1	GCA_036669935.2	Montipora foliosa					CH-2021		GCF_036669935.1-RS_2024_09	Chromosome	2024-08-23	JAJTOQ02	466
jaIsoPali11.1	GCA_964212065.1		Isopora palifera								Chromosome	2024-08-03	CAXOTM01	269
ASM3666992v2	GCA_036669925.2	GCF_036669925.1	Montipora capricornis					CH-2021			Chromosome	2024-08-23	JAJTOP02	442
ASM3666992v2	GCF_036669925.1	GCA_036669925.2	Montipora capricornis					CH-2021		GCF_036669925.1-RS_2024_09	Chromosome	2024-08-23	JAJTOP02	442
jaBlaWell11.1	GCA_947652115.1		Blastomussa wellsi								Chromosome	2022-12-21	CANTDW01	134
jaAntBipi1.1	GCA_984041435.1		Antillogorgia bipinnata								Chromosome	2026-06-15	CFFEFP01	1000
PSU_Apoculata_full	GCA_047906015.2		Astrangia poculata					PSU_2025			Chromosome	2025-05-01	JBLOOU02	465
jaCalPara1.1	GCA_964340385.1		Calliactis parasitica								Chromosome	2024-11-14	CAYEZR01	12
jaParCine1.1	GCA_965243875.1		Paranemonia cinerea								Chromosome	2025-04-16	CBDEWH01	37
jaSarEleg1.1	GCA_982319615.1		Sarcophyton elegans								Chromosome	2026-03-22	CEVNFB01	154
jaDenCyli1.1	GCA_964187815.1		Dendrogyra cylindrus								Chromosome	2024-06-18	CAXLMZ01	362
jaPluPenn1.1	GCA_964036295.1		Plumapathes pennacea								Chromosome	2024-05-13	CAXIWU01	24
jaAcrSpic1.1	GCA_964261235.1		Acropora spicifera								Chromosome	2024-09-07	CAXVPB01	88
jaCorViri6.1	GCA_979016875.1		Corynactis viridis								Chromosome	2026-02-27	CECUDG01	69
jaMonPala3.1	GCA_964330385.1		Montipora palawanensis								Chromosome	2024-11-07	CAYELN01	144
jaActMedi1.1plusMT	GCA_965224875.2		Actinia mediterranea								Chromosome	2025-08-23	CBDDBB02	36
jaClaCaes1.1	GCA_977000285.1		Cladocora caespitosa								Chromosome	2025-11-08	CDRLXK01	630
jaVerCyno1.1	GCA_965118255.1		Veretillum cynomorium								Chromosome	2025-01-29	CBCPHG01	292
jaOcuArbu1.hap1.1	GCA_964656845.1		Oculina arbuscula								Chromosome	2025-01-02	CAZZTG01	476
jaAgaAgar1.hap1.1	GCA_974392565.1		Agaricia agaricites								Chromosome	2025-10-26	CDCVHM01	487
jaPorPori1.2	GCA_987193285.1		Porites porites								Chromosome	2026-09-01	CFWXIY02	1208
jaCalGrac1.1	GCA_964204845.1		Callogorgia gracilis								Chromosome	2024-07-27	CAXNRF01	198
jaPteGris1.1	GCA_964659595.1		Pteroeides griseum								Chromosome	2025-01-02	CBAADO01	36
jaPacMult1.1 alternative haplotype	GCA_984695265.1		Pachycerianthus multiplicatus								Chromosome	2026-06-22	CFIWPK01	30
jaPorRusx1.1	GCA_964035705.1		Porites rus								Chromosome	2024-05-02	CAXIVM01	3095
jaAulVerr1.hap1.1	GCA_965282975.1		Aulactinia verrucosa								Chromosome	2025-05-18	CBDIMY01	133
ASM4579182v1	GCA_045791825.1		Hemicorallium imperiale					Z232			Chromosome	2024-12-06	JBJHQK01	169
Scal100	GCA_033964015.1		Scolanthus callimorphus				Carantec	ScWienSc1			Chromosome	2023-11-28	JAWWUD01	303
jaMicLord3.1	GCA_964020085.1		Micromussa lordhowensis								Chromosome	2024-03-30	CAXHUQ01	1614
jaCypSala7.1	GCA_964194085.1		Cyphastrea salae								Chromosome	2024-06-28	CAXMLB01	36
jaDunAxif1.1	GCA_964258685.1		Duncanopsammia axifuga								Chromosome	2024-09-01	CAXVHN01	699
jaSteInte3.hap1.1	GCA_965112835.1		Stephanocoenia intersepta								Chromosome	2025-01-24	CBCOSS01	1150
jaAcrAuse1.1	GCA_964273435.1		Acropora austera								Chromosome	2024-10-04	CAXWWJ01	1141
jaMadSena2.1	GCA_964656595.1		Madracis senaria								Chromosome	2025-01-02	CAZZSH01	402
jaRhoOscu1.1	GCA_965240485.1		Rhodactis osculifera								Chromosome	2025-04-14	CBDEKU01	396
jaTurReni1.1	GCA_964204835.1		Turbinaria reniformis								Chromosome	2024-07-27	CAXNRM01	747
ASM5957501v1	GCA_059575015.1		Neoanthomastus elongatus					MBM590001			Chromosome	2026-07-22	JBWBEV01	565
jaEchHorr1.2	GCA_964199735.2		Echinopora horrida								Chromosome	2025-03-20	CAXMZG02	883
jaAntArte2.1	GCA_964304775.1		Anthopleura artemisia								Chromosome	2024-11-07	CAYARF01	1169
jaAcrLori1.hap1.1	GCA_965214385.1		Acropora loripes								Chromosome	2025-03-21	CBDCEB01	1578
jaAcrGlau1.hap1.1	GCA_964274385.1		Acropora glauca								Chromosome	2024-11-08	CAXWZV01	460
jaEunKnig1.1	GCA_965233905.1		Eunicea knighti								Chromosome	2025-04-03	CBDDTY01	5583
CUHK_Cjar_2.0	GCA_022496165.2		Catalaphyllia jardinei					CO-2020			Chromosome	2022-06-07	JAEMPF02	38168
Aiptasia genome 1.1	GCA_001417965.1	GCF_001417965.1	Exaiptasia diaphana					CC7		Annotation submitted by KAUST	Scaffold	2015-10-28	LJWW01	4312
Aiptasia genome 1.1	GCF_001417965.1	GCA_001417965.1	Exaiptasia diaphana					CC7		GCF_001417965.1-RS_2023_11	Scaffold	2015-10-28	LJWW01	4312
Adig_1.1	GCA_000222465.2	GCF_000222465.1	Acropora digitifera								Scaffold	2016-01-15	BACK02	2420
Adig_1.1	GCF_000222465.1	GCA_000222465.2	Acropora digitifera							NCBI Acropora digitifera Annotation Release 100	Scaffold	2016-01-15	BACK02	2420
ASM370409v1	GCA_003704095.1	GCF_003704095.1	Pocillopora damicornis					RSMAS		Annotation submitted by University of Miami	Scaffold	2018-10-31	RCHS01	4392
ASM370409v1	GCF_003704095.1	GCA_003704095.1	Pocillopora damicornis					RSMAS		NCBI Pocillopora damicornis Annotation Release 100	Scaffold	2018-10-31	RCHS01	4392
Stylophora pistillata v1.1	GCA_002571385.2	GCF_002571385.2	Stylophora pistillata					CSM Monaco		Annotation submitted by KAUST	Scaffold	2017-10-17	LSMT01	5512
Stylophora pistillata v1.1	GCF_002571385.2	GCA_002571385.2	Stylophora pistillata					CSM Monaco		NCBI Stylophora pistillata Annotation Release 100	Scaffold	2017-10-17	LSMT01	5512
ofav_dov_v1	GCA_002042975.1	GCF_002042975.1	Orbicella faveolata					FL	hermaphrodite		Scaffold	2017-03-20	MZGG01	1932
ofav_dov_v1	GCF_002042975.1	GCA_002042975.1	Orbicella faveolata					FL	hermaphrodite	NCBI Orbicella faveolata Annotation Release 100	Scaffold	2017-03-20	MZGG01	1932
Aten_1.0	GCA_014633955.1		Acropora tenuis								Scaffold	2020-09-05	BLAZ01	1538
jaAntElea1_p1.1	GCA_051176645.1		Anthopleura elegantissima					AggregatingAnemone01/CBP01345			Contig	2025-07-02	JBPKRK01	881
Agem_1.0	GCA_014634125.1		Acropora gemmifera								Scaffold	2020-09-05	BLFF01	2274
ASM3014290v1	GCA_030142905.1		Heliopora coerulea					R001			Contig	2023-05-31	JASJOG01	769
Loph_1.0	GCA_029204205.1		Desmophyllum pertusum					USNM1676648		Annotation submitted by Lehigh University	Scaffold	2023-03-08	JAPMOT01	2858
jaFimPara1.2	GCA_977014755.2		Fimbriaphyllia paradivisa								Contig	2026-04-24	CDRNLE02	732
ASM1649073v1	GCA_016490735.1		Pachyseris speciosa					CAN04-2015			Contig	2021-01-05	JAEMWC01	2368
ASM960242v1	GCA_009602425.1	GCF_009602425.1	Actinia tenebrosa								Scaffold	2019-11-06	WAHB01	4002
ASM960242v1	GCF_009602425.1	GCA_009602425.1	Actinia tenebrosa							NCBI Actinia tenebrosa Annotation Release 100	Scaffold	2019-11-06	WAHB01	4002
Fanc_1.0	GCA_042850425.1		Fimbriaphyllia ancora								Scaffold	2024-07-27	BRZB01	205
PSU_CNat_1.0.0	GCA_043250805.1		Colpophyllia natans					22254			Contig	2024-10-17	JBGLOC01	174
ASM5043718v1	GCA_050437185.1		Entacmaea quadricolor					QM_EQ_FJ2			Contig	2025-05-19	JBITNL01	558
jaPavDecu1.1	GCA_977016875.1	GCF_977016875.1	Pavona decussata								Contig	2025-11-08	CDRNST01	1180
jaPavDecu1.1	GCF_977016875.1	GCA_977016875.1	Pavona decussata							GCF_977016875.1-RS_2026_06	Contig	2025-11-08	CDRNST01	1180
jaAntSola1.0.p	GCA_023349425.1		Anthopleura sola					CCGP_MDBC_AS_20200803			Scaffold	2022-05-12	JALHLI01	269
equina_smartden.arrow4.noredun	GCA_011057435.1		Actinia equina					AE1			Contig	2020-03-02	WHPX01	1486
jaBriAsbe3.1	GCA_977019185.1		Briareum asbestinum								Contig	2025-11-08	CDRNYW01	4567
Paus_1.0	GCA_022179025.1		Porites australiensis								Scaffold	2022-01-14	BOPM01	4983
ASM1176337v2	GCA_011763375.2		Heteractis magnifica					IRGN W9CBD1RZL8			Scaffold	2022-09-26	JAADYU02	147986
ASM1516403v2	GCA_015164035.2		Radianthus crispa					NT7GRQ4B95			Scaffold	2022-10-20	JAABNW02	166207
Avir_v1	GCA_900234385.1		Anemonia viridis								Scaffold	2018-08-01	OCZR01	1095173
ASM3808840v1	GCA_038088405.1		Porites divaricata					KS-2024			Contig	2024-04-12	JBBMOI01	48
Apul_v1.1	GCA_044231415.1		Acropora pulchra					JA	hermaphrodite		Contig	2024-11-01	JBIQNU01	174
AGI_CSIRO_Aspa_v1	GCA_031770025.1		Acropora spathulata					As357-1			Contig	2023-09-20	JAVKTU01	162
ASM4854415v1	GCA_048544155.1		Acropora intermedia					XC-2025b			Contig	2025-03-11	JBLWFQ01	633
ASM3577116v1	GCA_035771165.1		Paragorgia papillata					YL-2023			Contig	2024-01-17	JAWNZC01	473
jaOrbAnnu2.hap2.1	GCA_977012875.1		Orbicella annularis								Contig	2025-11-08	CDRNEV01	1020
GRF_DCR_1.0	GCA_024195265.1		Dendrophyllia cribrosa					DCR_2021			Scaffold	2022-07-08	JAJLRJ01	22
jaParArbo1_p1.1	GCA_057556685.1		Paragorgia arborea					BubblegumCoral01 / CBP02698			Scaffold	2026-05-15	JBXVNV01	293
DenGig_1.0	GCA_004324835.1	GCF_004324835.1	Dendronephthya gigantea					DGI-Jeju-01			Contig	2019-03-04	RSEI01	1320
DenGig_1.0	GCF_004324835.1	GCA_004324835.1	Dendronephthya gigantea					DGI-Jeju-01		NCBI Dendronephthya gigantea Annotation Release 100	Contig	2019-03-04	RSEI01	1320
jaDipLaby1.1	GCA_965282425.1		Diploria labyrinthiformis								Scaffold	2025-05-18	CBDIKJ01	1112
Cladopsammia_gracilis_LHT_Sanya_2019_01_v1	GCA_056777005.1		Cladopsammia gracilis					LHT_Sanya_2019_01			Scaffold	2026-04-17	JBTYIJ01	792
PAG_UKon_Phar_v2	GCA_040938025.2		Porites harrisoni					UAE_SA_Phar_03		Annotation submitted by Coral Global Search	Contig	2026-01-21	JBDLLT02	1882
Pumb_1.0	GCA_042846405.1		Palythoa mizigama					Pmiz_01_1			Contig	2024-07-18	BAACCD01	4032
jaAgaLama2.1	GCA_977015295.1		Agaricia lamarcki								Scaffold	2025-11-08	CDRNNQ01	5168
Amic_1.0	GCA_014634165.1		Acropora microphthalma								Scaffold	2020-09-05	BLFI01	4878
ASM1978742v1	GCA_019787425.1		Platygyra sinensis					PL-1			Contig	2021-08-27	JAHPZR01	56369
PACLA8	GCA_902702795.2		Paramuricea clavata		A484AB					Annotation submitted by Centro Nacional de Análisis Genómico	Scaffold	2022-11-08	CACRXK02	64145
ASM4447310v1	GCA_044473105.1		Heteractis aurora					HA4_MI_MC			Scaffold	2024-11-05	JBIDEO01	122508
ASM2856488v2	GCA_028564885.2		Zoanthus sanctaehelenae					IRGN XW9LHZ5T8C			Scaffold	2023-06-07	JAOTRI02	173528
ASM2533108v2	GCA_025331085.2		Zoanthus sociatus					IRGN 2Y5WH1N5ID			Scaffold	2023-06-07	JAOBAY02	134660
ASM2540358v1	GCA_025403585.1		Parazoanthus swiftii					IRGN YJTUCUEJ8X			Scaffold	2022-09-26	JAOBYE01	735458
ASM2654665v1	GCA_026546655.1		Epizoanthus illoricatus					I2TMW2CZG4			Scaffold	2022-11-30	JANVCK01	306368
ASM2612240v2	GCA_026122405.2		Zoanthus sansibaricus					IRGN G794XHFJ09			Scaffold	2023-06-07	JAPEIX02	469458
ASM2538874v1	GCA_025388745.1		Hydrozoanthus gracilis					ZKPF2VSYKB			Scaffold	2022-09-23	JANVCF01	262919
ASM2544821v2	GCA_025448215.2		Palythoa grandis					IRGN 1PFXJ0MAC7			Scaffold	2023-06-01	JAOEJH02	559063
ASM2757528v2	GCA_027575285.2		Zoanthus pulchellus					IRGN H5IB6RI3FG			Scaffold	2023-06-07	JAOBRB02	706929
ASM985815v3	GCA_009858155.3		Phymanthus crucifer					IRGN K4SZ72D9VW			Scaffold	2023-06-01	WUCR03	315387
ASM2540356v2	GCA_025403565.2		Palythoa heliodiscus					IRGN M8W4D2UKK2			Scaffold	2023-06-01	JAOBYJ02	777048
ASM2757500v1	GCA_027575005.1		Sphenopus marsupialis					9T92VS51BY			Scaffold	2023-01-06	JAOBRF01	1223773
ASM2757523v2	GCA_027575235.2		Palythoa mutuki					IRGN YAAKJB96DV			Scaffold	2023-06-07	JAODFW02	1718622
ASM4450987v1	GCA_044509875.1		Leptoseris scabra					AS_meso_ODU_2024_1			Scaffold	2024-11-05	JBHEPV01	695
ASM4388227v1	GCA_043882275.1		Montipora grisea					AS_meso_ODU_2024_2			Scaffold	2024-10-25	JBHOHN01	7188
ASM5043721v1	GCA_050437215.1		Heteractis doreensis					QM_MD_VT2			Contig	2025-05-19	JBITNK01	229
ASM4999603v1	GCA_049996035.1		Stichodactyla haddoni					QM_SHADD_VT3			Contig	2025-04-29	JBAMJU01	648
ASM4404847v1	GCA_044048475.1		Stylatula elongata					R001			Contig	2024-10-29	JBBWUE01	388
ASM4404854v1	GCA_044048545.1		Renilla koellikeri					R001			Contig	2024-10-29	JBBYAC01	497
PMEA_v1	GCA_942486045.1		Pocillopora meandrina							Annotation submitted by Genoscope CEA	Contig	2023-05-15	CALNXJ01	252
jaParBisc1.1	GCA_977018925.1		Paramuricea biscaya								Contig	2025-11-08	CDRNYG01	1471
ASM5240264v1	GCA_052402645.1		Podabacia crustacea					xcPodCru1.1			Scaffold	2025-09-02	JBQVRX01	609
jaParPaci1_p1.1	GCA_059750265.1		Paragorgia pacifica					PacificBubblegumCoral01 / CBP02696			Scaffold	2026-08-03	JBWWDY01	184
jaEunClav3.1	GCA_976234745.1		Eunicea clavigera								Contig	2025-10-27	CDNHOW01	1277
jaAntFurc1.1	GCA_977019255.1		Antipathes furcata								Contig	2025-11-08	CDRNYR01	815
jaCauFurc1.1	GCA_965607595.1		Caulastraea furcata								Scaffold	2025-07-07	CBFDFU01	1860
jaPseCliv1.hap2.1	GCA_977016755.1		Pseudodiploria clivosa								Contig	2025-11-08	CDRNSK01	1009
jaIsiTent1_p1.1	GCA_057127605.1		Isidella tentaculum					BambooCoral01 / CBP02699			Scaffold	2026-04-30	JBXSGQ01	518
QUT_TelSte_1.0	GCA_029948255.1		Telmatactis stephensoni					PJP-TS-01			Contig	2023-05-04	JALIZF01	1938
Cmic_V1	GCA_059441185.1		Cyphastrea microphthalma					UAE_SA_Cmic_10		Annotation submitted by Coral Global Search	Scaffold	2026-07-15	JBMGOP01	5553
jaAcrAbro1.hap1.1	GCA_982319565.1		Acropora abrotanoides								Scaffold	2026-03-22	CEVNEV01	2444
Pumb_1.0	GCA_042854165.1		Palythoa umbrosa					Pumb_01_1			Contig	2024-07-18	BAACCE01	2838
ASM4291941v1	GCA_042919415.1		Erythropodium caribaeorum					E_carib_col2			Contig	2024-10-10	JBEFDT01	8810
jaPteGuad1.1	GCA_976232015.1		Pterogorgia guadalupensis								Contig	2025-10-26	CDNHDZ01	2699
jaAntAmer4.hap1.1	GCA_976986585.1		Antillogorgia americana								Contig	2025-10-26	CDRKBS01	3585
jaMurLaxa5.1	GCA_982185195.1		Muricea laxa								Contig	2026-03-08	CEUTVV01	4885
ASM4404851v1	GCA_044048515.1		Dichotella gemmacea					R001			Contig	2024-10-29	JBBWUD01	8193
ASM4246482v1	GCA_042464825.1		Edwardsia elegans					AR-2024a			Contig	2024-09-30	JBHDXZ01	6319
jaEunSucc4.hap2.1	GCA_977969865.1		Eunicea succinea								Contig	2026-02-01	CDWWSO01	8796
Aacu_1.0	GCA_014633975.1		Acropora acuminata								Scaffold	2020-09-05	BLEZ01	3293
Acyt_1.0	GCA_014634045.1		Acropora cytherea								Scaffold	2020-09-05	BLFB01	4046
Ayon_1.0	GCA_014634225.1		Acropora yongei								Scaffold	2020-09-05	BLFN01	1010
Anas_1.0	GCA_014634205.1		Acropora nasuta								Scaffold	2020-09-05	BLFL01	4717
Asel_1.0	GCA_014634525.1		Acropora selago								Scaffold	2020-09-05	BLFM01	5816
Aflo_1.0	GCA_014634605.1		Acropora florida								Scaffold	2020-09-05	BLFE01	6979
PEVE_v1	GCA_942486025.1		Porites evermanni							Annotation submitted by Genoscope CEA	Scaffold	2023-05-15	CALNXI01	8186
Amyr_1.0	GCA_014634185.1		Astreopora myriophthalma								Scaffold	2020-09-04	BLFK01	1149
Mcac_1.0	GCA_014634245.1		Montipora cactus								Scaffold	2020-09-05	BLFO01	4925
Meff_1.0	GCA_014634505.1		Montipora efflorescens								Scaffold	2020-09-05	BLFP01	5162
Aech_1.0	GCA_014634105.1		Acropora echinata								Scaffold	2020-09-04	BLFD01	2002
Ahemp.RedSea.gaplosed_f2.ukon	GCA_037127295.1		Acropora hemprichii								Scaffold	2024-03-13	JAZHQP01	33983
Aawi_1.0	GCA_014634005.1		Acropora awi								Scaffold	2020-09-05	BLFA01	2821
ASM2626023v1	GCA_026260235.1		Hydrozoanthus antumbrosus					48XWLZJZVM			Scaffold	2022-11-21	JANVCB01	83614
ASM2641330v1	GCA_026413305.1		Hydrozoanthus tunicans					J5HNDKAECG			Scaffold	2022-11-27	JAOBAT01	147071
ASM4447332v1	GCA_044473325.1		Thalassianthus aster					TA_Frilly_Rabigh			Scaffold	2024-11-05	JBIDEG01	128901
ASM4400766v1	GCA_044007665.1		Actinodendron alcyonoideum					Aal1_MI_DT			Scaffold	2024-10-28	JBIDEV01	264852
ASM3687291v1	GCA_036872915.1		Nanipora kamurai					B7MV371YUL			Scaffold	2024-02-26	JBAHVQ01	236302
ASM1516394v2	GCA_015163945.2		Stichodactyla helianthus					G8LN15B2N6			Scaffold	2022-11-30	WUAP02	209545
ASM1180000v2	GCA_011800005.2		Stichodactyla mertensii					JXZJTLBCPJ			Scaffold	2022-11-30	JAAAQI02	209211
Aflosc_v1	GCA_048544285.1		Actinostella flosculifera					USP-Br_15			Scaffold	2025-03-11	JBLZGT01	62997
ASM2757498v1	GCA_027574985.1		Umimayanthus nakama					AM2NKUYEA9			Scaffold	2023-01-06	JAOBRG01	400997
ASM2641350v1	GCA_026413505.1		Epizoanthus ramosus					J2S1SLI4R4			Scaffold	2022-11-27	JANVCJ01	161689
ASM2533100v2	GCA_025331005.2		Zoanthus gigantus					IRGN HZVCTPUFWY			Scaffold	2023-06-01	JAOBBB02	416459
ASM2543480v1	GCA_025434805.1		Antipathozoanthus remengesaui					0WV8AZOBUQ			Scaffold	2022-09-27	JANSTR01	229473
ASM4447342v1	GCA_044473425.1		Ragactis hyalina					7ZPE4MX8A7			Scaffold	2024-11-05	JBIDEF01	211325
ASM2550540v1	GCA_025505405.1		Epizoanthus rinbou					IRGN JMFIVZMKPF			Scaffold	2022-09-30	JANVCH01	158821
ASM2616788v1	GCA_026167885.1		Bergia puertoricense					IRGN GLESJ2144X			Scaffold	2022-11-14	JANSTQ01	222172
ASM2433692v2	GCA_024336925.2		Zoanthus solanderi					IRGN 4LVMBY7PDP			Scaffold	2023-06-07	JANCMA02	683163
ASM4432712v1	GCA_044327125.1		Bunodosoma granuliferum					Bunol			Scaffold	2024-11-03	JBIDET01	278782
ASM2544819v2	GCA_025448195.2		Parazoanthus atlanticus					IRGN 6ZLVDC5KRB			Scaffold	2023-06-07	JAOEHT02	619697
ASM2654687v1	GCA_026546875.1		Pteroeides caledonicum					DVAQ4HP1WE			Scaffold	2022-11-30	JAOBAZ01	308709
ASM2544799v2	GCA_025447995.2		Isaurus tuberculatus					IRGN WPF6ZGCF4S			Scaffold	2023-06-01	JAOEHV02	529436
ASM2475786v1	GCA_024757865.1		Epizoanthus scotinus					BCLD6BMU9B			Scaffold	2022-08-28	JANUFV01	194961
ASM2577002v1	GCA_025770025.1		Virgularia gustaviana					IRGN:20CXF6CREN			Scaffold	2022-10-20	JAOTOK01	121611
ASM3147143v1	GCA_031471435.1		Stomphia didemon					IRGN 2022FHL149			Scaffold	2023-09-14	JAUPMF01	76020
ASM2540352v1	GCA_025403525.1		Umimayanthus kanabou					IRGN NBXC2RCGRD			Scaffold	2022-09-26	JAOBYH01	642856
ASM3227066v1	GCA_032270665.1		Metridium farcimen					IRGN 2022FHL602			Scaffold	2023-10-02	JAUPMH01	209616
ASM3227038v1	GCA_032270385.1		Urticina crassicornis					IRGN 2022FHL166			Scaffold	2023-10-02	JAUUIK01	188453
ASM2540360v1	GCA_025403605.1		Parazoanthus darwini					IRGN NLQ8XUX4U2			Scaffold	2022-09-26	JAOBYF01	795642
